Наименование^Смеситель для раковины Ledeme H01-1 L1001-1,Категория^smesiteli,Артикул^L1001-1,Коллекция^H01-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Матовый хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1001-1/smesitel-ledeme-h01-1-l1001-11.jpg,./images/smesiteli//L1001-1/smesitel-dlya-rakoviny-ledeme-l1001-1030.jpg"
Наименование^Смеситель для раковины Ledeme H06 L1006,Категория^smesiteli,Артикул^L1006,Коллекция^H06,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1006/smesitel-ledeme-h06-l10061.jpg,./images/smesiteli//L1006/smesitel-dlya-rakoviny-ledeme-l1006030.jpg"
Наименование^Смеситель для раковины Ledeme H57 L1057,Категория^smesiteli,Артикул^L1057,Коллекция^H57,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1057/smesitel-ledeme-h57-l10571.jpg,./images/smesiteli//L1057/smesitel-ledeme-h57-l1057-v-interere1.jpg,./images/smesiteli//L1057/smesitel-ledeme-h57-l1057-chertezh1.jpg"
Наименование^Смеситель для кухни Ledeme H57 L4557-2,Категория^smesiteli,Артикул^L4557-2,Коллекция^H57,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4557-2/smesitel-ledeme-h57-l4557-21.jpg,./images/smesiteli//L4557-2/smesitel-ledeme-h57-l4557-2-chertezh1.jpg"
Наименование^Смеситель для кухни Ledeme H86 L4086-2,Категория^smesiteli,Артикул^L4086-2,Коллекция^H86,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4086-2/smesitel-ledeme-h86-l4086-21.jpg,./images/smesiteli//L4086-2/smesitel-ledeme-h86-l4086-2-v-interere1.jpg,./images/smesiteli//L4086-2/smesitel-ledeme-h86-l4086-2-chertezh1.jpg"
Наименование^Смеситель для раковины Ledeme  L4295 Хром,Категория^smesiteli,Артикул^L4295,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для раковины,Управление^Моно,Стиль^Классика,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4295/smesitel-ledeme-l42951.jpg,./images/smesiteli//L4295/smesitel-dlya-rakoviny-ledeme-l4295-khrom030.jpg"
Наименование^Кран водоразборный Ledeme  L4695,Категория^smesiteli,Артикул^L4695,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, Настенные",Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L4695/kran-sadovyj-ledeme-l46950011.jpg,./images/smesiteli//L4695/kran-sadovyj-ledeme-l46950021.jpg"
Наименование^Смеситель для кухни Ledeme  L4195 Хром,Категория^smesiteli,Артикул^L4195,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4195/smesitel-ledeme-l41951.jpg,./images/smesiteli//L4195/smesitel-dlya-kukhni-ledeme-l4195-khrom030.jpg"
Наименование^Кран водоразборный Ledeme  L70102,Категория^smesiteli,Артикул^L70102,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, Настенные",Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L70102/kran-sadovyj-ledeme-l70102001.jpg,./images/smesiteli//L70102/kran-sadovyj-ledeme-l70102002.jpg"
Наименование^Смеситель для кухни Ledeme  L4395 Хром,Категория^smesiteli,Артикул^L4395,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4395/smesitel-ledeme-l43951.jpg,./images/smesiteli//L4395/smesitel-dlya-kukhni-ledeme-l4395-khrom030.jpg"
